Year,Country,Community,Crop,CROP earnings from last season spent on water?,Count
2022/23,Zimbabwe,Birchenough,ABE,Yes,5.00
2022/23,Zimbabwe,Birchenough,ABE,No,13.00
2022/23,Zimbabwe,Ruware,ABE,Yes,5.00
2022/23,Zimbabwe,Ruware,ABE,No,16.00
2022/23,Zimbabwe,Zaka,ABE,Yes,3.00
2022/23,Zimbabwe,Zaka,ABE,No,18.00
