order,crop,country,community,year,indicator,orig_value,tag,value
057,ABE,Zimbabwe,Birchenough,2022/23,Average Gross Income,"$1,065.30",,"$1,065.30 "
058,ABE,Zimbabwe,Zaka,2022/23,Average Gross Income,$727.04,,$727.04 
059,ABE,Zimbabwe,Ruware,2022/23,Average Gross Income,$698.72,,$698.72 
060,ABE,Malawi,Chikwawa,2022/23,Average Gross Income,$342.11,,$342.11 
061,ABE,Malawi,Katowo,2022/23,Average Gross Income,$385.40,,$385.40 
062,ABE,Mozambique,Small scale commercial farmers,2022/23,Average Gross Income,"$3,892.25",,"$3,892.25 "
063,ABE,Mozambique,Subsistence farmers,2022/23,Average Gross Income,"$1,413.44",,"$1,413.44 "
064,ABE,Mozambique,Organisation farmers,2022/23,Average Gross Income,"$6,059.89",,"$6,059.89 "
065,ABE,Zimbabwe,Birchenough,2022/23,Average True Earnings,$430.61,,$430.61 
066,ABE,Zimbabwe,Zaka,2022/23,Average True Earnings,$340.84,,$340.84 
067,ABE,Zimbabwe,Ruware,2022/23,Average True Earnings,$322.77,,$322.77 
068,ABE,Malawi,Chikwawa,2022/23,Average True Earnings,$93.71,,$93.71 
069,ABE,Malawi,Katowo,2022/23,Average True Earnings,$102.76,,$102.76 
073,ABE,Zimbabwe,Birchenough,2022/23,Average Gross Income per 0.25 ha,"$1,596.74",,"$1,596.74 "
074,ABE,Zimbabwe,Zaka,2022/23,Average Gross Income per 0.25 ha,"$1,036.41",,"$1,036.41 "
075,ABE,Zimbabwe,Ruware,2022/23,Average Gross Income per 0.25 ha,$951.94,,$951.94 
076,ABE,Malawi,Chikwawa,2022/23,Average Gross Income per 0.25 ha,$400.75,,$400.75 
077,ABE,Malawi,Katowo,2022/23,Average Gross Income per 0.25 ha,$422.00,,$422.00 
078,ABE,Mozambique,Small scale commercial farmers,2022/23,Average Gross Income per 0.25 ha,$951.63,,$951.63 
079,ABE,Mozambique,Subsistence farmers,2022/23,Average Gross Income per 0.25 ha,$422.95,,$422.95 
080,ABE,Mozambique,Organisation farmers,2022/23,Average Gross Income per 0.25 ha,"$1,514.97",,"$1,514.97 "
081,ABE,Zimbabwe,Birchenough,2022/23,Average True Earnings per 0.25 ha,$580.73,,$580.73 
082,ABE,Zimbabwe,Zaka,2022/23,Average True Earnings per 0.25 ha,$473.38,,$473.38 
083,ABE,Zimbabwe,Ruware,2022/23,Average True Earnings per 0.25 ha,$423.20,,$423.20 
084,ABE,Malawi,Chikwawa,2022/23,Average True Earnings per 0.25 ha,$110.19,,$110.19 
085,ABE,Malawi,Katowo,2022/23,Average True Earnings per 0.25 ha,$114.44,,$114.44 
