order,crop,country,community,indicator,bin,value
084,ABE,Zimbabwe,Gokwe,Effluent ,2016/17,0.0
085,ABE,Zimbabwe,Gokwe,Effluent ,2017/18,0.0
086,ABE,Zimbabwe,Gokwe,Effluent ,2018/19,7.8
087,ABE,Zimbabwe,Gokwe,Effluent ,2019/20,0.0
088,ABE,Zimbabwe,Gokwe,Effluent ,2020/21,7.8
089,ABE,Zimbabwe,Gokwe,Effluent ,2021/22,0.0
090,ABE,Zimbabwe,Gokwe,Effluent ,2022/23,0.0
091,ABE,Zimbabwe,Zimbabwe,Energy,Baseline,1.8
092,ABE,Zimbabwe,Zimbabwe,Energy,2015/16,4.8
093,ABE,Zimbabwe,Zimbabwe,Energy,2016/17,3.5
094,ABE,Zimbabwe,Zimbabwe,Energy,2017/18,5.4
095,ABE,Zimbabwe,Zimbabwe,Energy,2018/19,7.3
096,ABE,Zimbabwe,Zimbabwe,Energy,2019/20,5.8
097,ABE,Zimbabwe,Zimbabwe,Energy,2020/21,7.6
098,ABE,Zimbabwe,Zimbabwe,Energy,2021/22,5.8
099,ABE,Zimbabwe,Zimbabwe,Energy,2022/23,5.8
100,ABE,Zimbabwe,Birchenough,Energy,Baseline,3.0
101,ABE,Zimbabwe,Birchenough,Energy,2015/16,6.0
102,ABE,Zimbabwe,Birchenough,Energy,2016/17,7.0
103,ABE,Zimbabwe,Birchenough,Energy,2017/18,7.5
104,ABE,Zimbabwe,Birchenough,Energy,2018/19,7.8
105,ABE,Zimbabwe,Birchenough,Energy,2019/20,7.5
106,ABE,Zimbabwe,Birchenough,Energy,2020/21,7.5
107,ABE,Zimbabwe,Birchenough,Energy,2021/22,7.7
108,ABE,Zimbabwe,Birchenough,Energy,2022/23,7.7
109,ABE,Zimbabwe,Zaka,Energy,Baseline,1.0
110,ABE,Zimbabwe,Zaka,Energy,2015/16,7.0
111,ABE,Zimbabwe,Zaka,Energy,2016/17,0.0
112,ABE,Zimbabwe,Zaka,Energy,2017/18,7.0
113,ABE,Zimbabwe,Zaka,Energy,2018/19,7.0
114,ABE,Zimbabwe,Zaka,Energy,2019/20,7.5
115,ABE,Zimbabwe,Zaka,Energy,2020/21,7.5
116,ABE,Zimbabwe,Zaka,Energy,2021/22,7.7
117,ABE,Zimbabwe,Zaka,Energy,2022/23,7.7
118,ABE,Zimbabwe,Ruware,Energy,Baseline,3.0
119,ABE,Zimbabwe,Ruware,Energy,2015/16,6.0
120,ABE,Zimbabwe,Ruware,Energy,2016/17,7.0
121,ABE,Zimbabwe,Ruware,Energy,2017/18,7.0
122,ABE,Zimbabwe,Ruware,Energy,2018/19,7.0
123,ABE,Zimbabwe,Ruware,Energy,2019/20,8.0
124,ABE,Zimbabwe,Ruware,Energy,2020/21,8.0
125,ABE,Zimbabwe,Ruware,Energy,2021/22,7.7
126,ABE,Zimbabwe,Ruware,Energy,2022/23,7.7
127,ABE,Zimbabwe,Gokwe,Energy,Baseline,0.0
128,ABE,Zimbabwe,Gokwe,Energy,2015/16,0.0
129,ABE,Zimbabwe,Gokwe,Energy,2016/17,0.0
130,ABE,Zimbabwe,Gokwe,Energy,2017/18,0.0
131,ABE,Zimbabwe,Gokwe,Energy,2018/19,7.5
132,ABE,Zimbabwe,Gokwe,Energy,2019/20,0.0
133,ABE,Zimbabwe,Gokwe,Energy,2020/21,7.5
134,ABE,Zimbabwe,Gokwe,Energy,2021/22,0.0
135,ABE,Zimbabwe,Gokwe,Energy,2022/23,0.0
136,ABE,Zimbabwe,Zimbabwe,Food Security,Baseline,5.3
137,ABE,Zimbabwe,Zimbabwe,Food Security,2015/16,6.8
138,ABE,Zimbabwe,Zimbabwe,Food Security,2016/17,6.8
139,ABE,Zimbabwe,Zimbabwe,Food Security,2017/18,6.8
140,ABE,Zimbabwe,Zimbabwe,Food Security,2018/19,8.9
141,ABE,Zimbabwe,Zimbabwe,Food Security,2019/20,5.5
142,ABE,Zimbabwe,Zimbabwe,Food Security,2020/21,6.8
143,ABE,Zimbabwe,Zimbabwe,Food Security,2021/22,5.3
144,ABE,Zimbabwe,Zimbabwe,Food Security,2022/23,5.4
145,ABE,Zimbabwe,Birchenough,Food Security,Baseline,7.0
146,ABE,Zimbabwe,Birchenough,Food Security,2015/16,9.0
147,ABE,Zimbabwe,Birchenough,Food Security,2016/17,9.0
148,ABE,Zimbabwe,Birchenough,Food Security,2017/18,9.0
149,ABE,Zimbabwe,Birchenough,Food Security,2018/19,9.0
150,ABE,Zimbabwe,Birchenough,Food Security,2019/20,7.0
151,ABE,Zimbabwe,Birchenough,Food Security,2020/21,6.5
152,ABE,Zimbabwe,Birchenough,Food Security,2021/22,6.5
153,ABE,Zimbabwe,Birchenough,Food Security,2022/23,6.8
154,ABE,Zimbabwe,Zaka,Food Security,Baseline,7.0
155,ABE,Zimbabwe,Zaka,Food Security,2015/16,9.0
156,ABE,Zimbabwe,Zaka,Food Security,2016/17,9.0
157,ABE,Zimbabwe,Zaka,Food Security,2017/18,9.0
158,ABE,Zimbabwe,Zaka,Food Security,2018/19,9.0
159,ABE,Zimbabwe,Zaka,Food Security,2019/20,8.0
160,ABE,Zimbabwe,Zaka,Food Security,2020/21,7.5
161,ABE,Zimbabwe,Zaka,Food Security,2021/22,7.7
162,ABE,Zimbabwe,Zaka,Food Security,2022/23,7.7
163,ABE,Zimbabwe,Ruware,Food Security,Baseline,7.0
164,ABE,Zimbabwe,Ruware,Food Security,2015/16,9.0
165,ABE,Zimbabwe,Ruware,Food Security,2016/17,9.0
166,ABE,Zimbabwe,Ruware,Food Security,2017/18,9.0
167,ABE,Zimbabwe,Ruware,Food Security,2018/19,9.0
168,ABE,Zimbabwe,Ruware,Food Security,2019/20,7.0
169,ABE,Zimbabwe,Ruware,Food Security,2020/21,5.0
170,ABE,Zimbabwe,Ruware,Food Security,2021/22,7.0
171,ABE,Zimbabwe,Ruware,Food Security,2022/23,7.0
172,ABE,Zimbabwe,Gokwe,Food Security,Baseline,0.0
173,ABE,Zimbabwe,Gokwe,Food Security,2015/16,0.0
174,ABE,Zimbabwe,Gokwe,Food Security,2016/17,0.0
175,ABE,Zimbabwe,Gokwe,Food Security,2017/18,0.0
176,ABE,Zimbabwe,Gokwe,Food Security,2018/19,8.5
177,ABE,Zimbabwe,Gokwe,Food Security,2019/20,0.0
178,ABE,Zimbabwe,Gokwe,Food Security,2020/21,8.0
179,ABE,Zimbabwe,Gokwe,Food Security,2021/22,0.0
180,ABE,Zimbabwe,Gokwe,Food Security,2022/23,0.0
181,ABE,Zimbabwe,Zimbabwe,Healthcare,Baseline,3.5
182,ABE,Zimbabwe,Zimbabwe,Healthcare,2015/16,4.0
183,ABE,Zimbabwe,Zimbabwe,Healthcare,2016/17,3.0
